"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2022","381.10","375.00","385.50","363.20","356.42M","1.65%"
"Mar 06, 2022","374.90","384.70","387.20","372.90","185.66M","-2.55%"
"Mar 05, 2022","384.70","374.50","387.20","367.80","171.62M","2.72%"
"Mar 04, 2022","374.50","402.60","403.39","372.09","294.17M","-6.98%"
"Mar 03, 2022","402.60","409.20","413.08","397.60","648.92K","-1.61%"
"Mar 02, 2022","409.20","408.59","415.59","403.90","874.33K","0.15%"
"Mar 01, 2022","408.59","395.61","420.35","391.00","1.48M","3.28%"
"Feb 28, 2022","395.61","359.92","397.09","356.00","815.14K","9.92%"
"Feb 27, 2022","359.91","373.60","380.90","358.21","726.15K","-3.59%"
"Feb 26, 2022","373.31","375.17","385.60","370.60","584.74K","-0.42%"
"Feb 25, 2022","374.89","361.19","376.90","357.09","834.85K","3.82%"
"Feb 24, 2022","361.10","365.69","369.80","323.89","2.03M","-1.26%"
"Feb 23, 2022","365.69","374.20","383.82","365.60","739.08K","-2.27%"
"Feb 22, 2022","374.20","356.52","374.92","349.30","984.89K","4.96%"
"Feb 21, 2022","356.50","380.32","393.61","355.01","1.27M","-6.26%"
"Feb 20, 2022","380.31","399.70","399.99","375.39","667.90K","-4.85%"
"Feb 19, 2022","399.70","399.21","406.31","393.21","448.75K","0.12%"
"Feb 18, 2022","399.20","402.97","410.99","392.89","657.32K","-0.94%"
"Feb 17, 2022","402.97","427.38","431.00","400.19","713.82K","-5.71%"
"Feb 16, 2022","427.38","432.31","433.30","422.80","661.38K","-1.12%"
"Feb 15, 2022","432.21","403.49","441.20","402.70","1.24M","7.12%"
"Feb 14, 2022","403.49","397.83","404.20","390.61","500.69K","1.43%"
"Feb 13, 2022","397.80","403.22","407.02","394.90","426.23K","-1.34%"
"Feb 12, 2022","403.20","400.16","406.90","393.59","569.68K","0.75%"
"Feb 11, 2022","400.19","414.89","418.80","392.90","767.57K","-3.54%"
"Feb 10, 2022","414.89","422.81","434.69","410.50","1.02M","-1.87%"
"Feb 09, 2022","422.80","407.71","427.30","407.31","686.30K","3.70%"
"Feb 08, 2022","407.72","433.29","444.86","406.41","1.22M","-5.90%"
"Feb 07, 2022","433.29","420.01","438.61","413.59","810.27K","3.16%"
"Feb 06, 2022","420.00","413.99","421.30","407.79","576.76K","1.45%"
"Feb 05, 2022","413.99","399.49","430.88","396.60","1.10M","3.63%"
"Feb 04, 2022","399.49","371.88","399.49","369.62","924.97K","7.42%"
"Feb 03, 2022","371.88","367.10","371.90","359.82","535.06K","1.30%"
"Feb 02, 2022","367.10","384.21","386.11","366.30","612.86K","-4.45%"
"Feb 01, 2022","384.21","374.31","388.02","374.01","594.73K","2.67%"
"Jan 31, 2022","374.21","377.50","385.20","365.59","658.95K","-0.87%"
"Jan 30, 2022","377.50","389.29","389.49","372.81","572.48K","-3.03%"
"Jan 29, 2022","389.29","386.00","396.92","381.21","579.88K","0.85%"
"Jan 28, 2022","386.00","390.03","395.13","376.19","812.65K","-1.03%"
"Jan 27, 2022","390.03","374.91","393.00","360.10","1.05M","4.03%"
"Jan 26, 2022","374.91","384.88","401.34","366.40","1.16M","-2.59%"
"Jan 25, 2022","384.88","371.59","387.97","357.79","1.10M","3.58%"
"Jan 24, 2022","371.58","384.10","384.10","336.82","2.04M","-3.26%"
"Jan 23, 2022","384.10","358.30","388.89","356.60","1.37M","7.14%"
"Jan 22, 2022","358.50","384.30","388.99","337.57","2.71M","-6.71%"
"Jan 21, 2022","384.30","440.43","444.31","374.98","1.99M","-12.74%"
"Jan 20, 2022","440.43","462.27","478.29","438.49","1.22M","-4.73%"
"Jan 19, 2022","462.28","471.21","472.80","454.09","626.89K","-1.89%"
"Jan 18, 2022","471.21","475.01","479.31","457.50","749.84K","-0.80%"
"Jan 17, 2022","475.01","498.50","498.98","467.40","805.11K","-4.71%"
"Jan 16, 2022","498.50","494.49","505.59","488.90","549.92K","0.77%"
"Jan 15, 2022","494.67","490.00","500.80","485.30","607.71K","0.95%"
"Jan 14, 2022","490.00","475.12","492.08","468.29","896.28K","3.14%"
"Jan 13, 2022","475.09","487.04","488.90","467.09","994.44K","-2.45%"
"Jan 12, 2022","487.01","463.51","489.60","456.71","883.73K","5.08%"
"Jan 11, 2022","463.48","424.81","467.50","421.50","1.35M","9.10%"
"Jan 10, 2022","424.81","438.60","445.40","407.67","1.29M","-3.14%"
"Jan 09, 2022","438.60","429.32","444.40","427.31","751.21K","2.16%"
"Jan 08, 2022","429.32","447.90","459.30","417.13","1.12M","-4.11%"
"Jan 07, 2022","447.71","472.89","473.70","438.20","1.38M","-5.33%"
"Jan 06, 2022","472.89","473.61","481.30","459.41","1.02M","-0.15%"
"Jan 05, 2022","473.61","506.99","515.81","459.04","1.03M","-6.59%"
"Jan 04, 2022","507.00","511.70","519.70","502.40","724.32K","-0.92%"
"Jan 03, 2022","511.70","531.00","532.60","510.21","700.85K","-3.68%"
"Jan 02, 2022","531.28","527.41","533.59","518.40","435.89K","0.74%"
"Jan 01, 2022","527.40","511.70","527.51","511.60","478.60K","3.07%"
"Dec 31, 2021","511.70","518.50","528.10","507.11","726.07K","-1.31%"
